FEATTYPE,SCALE,FACAFF,elevation,aspect,slope,landuse,Period,Years_befo,Main_Rock_,NDVI,distance,total_curv,plan_curv,prof_curv,Label
Retaining Wall (Masonry),1.5,Minor footpath; other (platform above the retainining wall),52,330.524,2.04472,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.193857,17.3408076,-0.282579,-0.18171,0.100869,1
Fill Slope,18,Open area,1,225,1.86081,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.292597,51.05405917,0.282579,0.289513,0.00693372,1
Soil Cut,0.5,Minor footpath,6,149.534,3.0513,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.339637,130.6014246,-0.208863,-0.102582,0.106281,1
Soil Cut,45,Access road,26,346.373,5.24349,53,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.194702,384.0365991,0.159719,0.161805,0.00208631,1
Soil Cut,0.3,Other (alleyway),22,335.999,11.4563,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.155207,370.1132114,-0.651161,-0.205214,0.445947,1
Fill Slope,2,Road; open area,16,180,2.63066,42,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.155746,10.75676566,-0.417726,-0.171922,0.245804,1
Retaining Wall,3.4,Minor footpath,23,257.735,3.63991,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.255206,14.85460049,0.896882,0.450939,-0.445943,1
Retaining Wall (Masonry),1.6,Open space,41,68.4986,8.1825,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.236228,1620.686744,-0.368582,-0.0213103,0.347271,1
Soil Cut,1,Registered squatter dwelling,24,171.469,9.31228,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.25748,40.70657712,-0.368582,-0.136912,0.23167,1
Natural Hillside,0.47,Village house,13,340.378,6.2768,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.240893,316.6952604,-0.208863,-0.125117,0.0837459,1
Fill Slope,21,Village house; Open area,45,278.746,4.06672,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.163432,181.2213111,-0.417726,-0.236507,0.181219,1
Soil Cut,8,Footpath,19,340.602,5.80815,92,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.287829,535.425036,-0.270293,0.0329946,0.303288,1
Retaining Wall,10,Open Area,26,336.038,4.5657,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.292796,561.2908844,-0.380868,-0.0625791,0.318289,1
Soil Cut,5,Open Area,47,17.7004,3.81425,72,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.274946,215.3466303,0.270293,0.0018989,-0.268394,1
Natural Hillside,4,Nil (Debris rested on slope),24,243.997,7.02863,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.325147,313.8679101,-0.245721,0.152098,0.39782,1
Natural Hillside,0,Minor footpath,71,228.945,12.5284,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.337447,549.4482886,0.172005,0.260175,0.0881705,1
Others,8,Minor footpath,9,189.462,0.941852,21,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.181826,139.8563781,-0.933741,-0.453955,0.479786,1
Soil Cut,10,Others (River),41,103.57,2.30861,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.293629,430.2579727,0.0737164,0.0376056,-0.0361107,1
