,SLIDE_TYPE,M_WIDTH,S_LENGTH,SLOPE,COVER,YEAR_1,HEADELEV,TAILELEV,ELE_DIFF,GULLY,CLASS,curv_plan,curv_prof,aspect,curv,ID,history
83238,R,9.5,7.0,45.0,C,1963,311.0,305.0,6.0,N,C1,0.605167,-0.537436,334.394,1.1426,83238,59
104779,R,8.5,12.0,40.5,D,1963,169.0,160.0,9.0,N,B1,-0.132776,0.125231,97.9975,-0.258007,104779,59
34618,R,15.0,20.0,31.0,D,1963,175.0,166.0,9.0,N,B1,0.0526899,-0.0947428,100.84,0.147433,34618,59
61524,R,14.5,11.0,31.5,D,1963,89.0,82.0,7.0,N,B1,0.295362,0.111071,153.716,0.184291,61524,59
11315,R,19.0,7.5,46.0,C,1963,17.0,9.0,8.0,N,S,0.00280094,0.334525,-9999.0,-0.331724,11315,59
97890,R,7.5,8.0,39.5,C,1963,156.0,149.0,7.0,N,B1,0.102101,0.114387,337.249,-0.0122861,97890,59
65955,R,9.0,10.5,24.0,C,1963,206.0,200.0,6.0,N,C1,-0.372192,0.156108,266.455,-0.528301,65955,59
8786,R,18.0,9.5,42.0,C,1963,151.0,143.0,8.0,N,B1,-0.0207477,0.409264,232.352,-0.430012,8786,59
64284,R,13.0,5.5,43.5,C,1963,154.0,149.0,5.0,N,B1,-0.0421422,0.129863,288.778,-0.172005,64284,59
81849,R,8.5,12.0,9999.0,D,1963,9999.0,9999.0,9999.0,N,A2,0.0604031,0.269266,264.5,-0.208863,81849,59
86569,R,8.0,7.5,27.0,C,1963,252.0,249.0,3.0,N,B1,-0.116785,0.104364,137.302,-0.221149,86569,59
34345,R,5.0,11.5,39.5,C,1963,192.0,182.0,10.0,N,B2,0.311049,0.077614,171.005,0.233435,34345,59
15881,R,20.0,9.0,22.0,D,1963,252.0,247.0,5.0,N,B1,-0.207038,0.0878274,-9999.0,-0.294865,15881,59
43847,R,10.0,5.5,24.0,C,1963,156.0,153.0,3.0,N,C1,-0.160937,0.1585,122.471,-0.319438,43847,59
20235,R,39.0,18.5,41.0,C,1963,166.0,154.0,12.0,N,A2,-0.0132691,0.0358751,304.136,-0.0491442,20235,59
23355,R,8.0,5.0,36.0,C,1963,196.0,192.0,4.0,N,A2,-0.191871,0.0907085,14.4898,-0.282579,23355,59
105636,R,11.0,14.0,45.5,C,1964,40.0,32.0,8.0,N,C1,0.110281,-0.0248656,173.904,0.135147,105636,58
6072,R,11.0,7.5,45.5,C,1963,385.0,378.0,7.0,N,B2,0.048212,-0.136079,246.181,0.184291,6072,59
87919,R,7.5,6.5,49.0,D,1963,141.0,135.0,6.0,N,B1,0.101568,-0.242442,103.717,0.34401,87919,59
62909,R,8.5,12.0,32.0,C,1963,398.0,391.0,7.0,N,A2,-0.00534968,0.0315085,320.925,-0.0368582,62909,59
22151,R,11.0,7.0,40.5,C,1963,193.0,188.0,5.0,N,B1,0.0604512,0.023593,96.7098,0.0368582,22151,59
91883,R,12.0,9.5,34.0,C,1963,155.0,149.0,6.0,N,C1,0.348205,-0.0572351,318.053,0.40544,91883,59
3841,R,17.0,9.0,32.5,C,1963,221.0,213.0,8.0,N,B1,0.460286,-0.0434422,298.27,0.503728,3841,59
26346,R,15.0,12.5,36.5,B,1963,19.0,9.0,10.0,N,S,0.151108,0.00367575,197.324,0.147433,26346,59
37316,R,8.0,10.5,33.5,C,1963,157.0,148.0,9.0,N,A2,0.349694,-0.117176,279.462,0.46687,37316,59
69122,R,11.0,8.0,42.5,C,1963,184.0,177.0,7.0,N,B2,0.0827069,0.242426,68.782,-0.159719,69122,59
110646,O,7.0,6.5,37.5,A,1994,19.0,4.0,15.0,N,-,-0.246903,0.0479629,329.744,-0.294865,110646,28
92453,R,5.0,13.0,47.0,C,1963,307.0,298.0,9.0,N,A2,0.467657,0.000786845,235.568,0.46687,92453,59
74286,R,15.0,9.5,30.0,D,1963,111.0,105.0,6.0,N,C2,0.0585205,0.0953787,324.762,-0.0368582,74286,59
35237,R,7.0,12.0,46.5,C,1963,147.0,136.0,11.0,N,B2,0.464389,-0.321919,27.1619,0.786308,35237,59
90170,R,8.5,12.0,38.0,C,1963,352.0,344.0,8.0,N,A2,-0.0422396,0.0191907,146.875,-0.0614303,90170,59
44637,R,14.0,8.5,27.0,C,1963,269.0,264.0,5.0,N,C1,-0.000610066,-0.221759,38.6095,0.221149,44637,59
12452,R,13.0,13.5,9999.0,C,1963,9999.0,9999.0,9999.0,N,B1,0.020519,0.20481,26.0458,-0.184291,12452,59
100068,O,10.0,18.0,32.0,B,2016,172.0,146.0,26.0,N,-,0.146521,0.0605187,257.754,0.0860024,100068,6
24854,R,15.0,5.0,38.5,C,1963,324.0,320.0,4.0,N,C2,0.0398707,0.0644429,199.179,-0.0245721,24854,59
53017,R,13.0,8.5,39.5,C,1963,229.0,222.0,7.0,Y,A2,0.302979,-0.544759,309.883,0.847738,53017,59
19688,R,12.0,9.5,29.5,C,1963,229.0,224.0,5.0,N,B2,-0.269099,0.160914,-9999.0,-0.430012,19688,59
89747,C,7.5,9.0,39.0,A,1963,56.0,39.0,17.0,N,-,0.055198,-0.239667,159.959,0.294865,89747,59
13362,R,10.0,12.0,9999.0,C,1963,9999.0,9999.0,9999.0,N,C1,0.288108,-0.289336,70.9744,0.577445,13362,59
45692,R,11.0,6.5,48.5,C,1963,310.0,302.0,8.0,N,A2,-0.0340607,0.223947,238.349,-0.258007,45692,59
88534,C,9.0,10.0,35.5,A,1973,217.0,200.0,17.0,N,-,0.288224,0.214508,310.914,0.0737164,88534,49
107172,R,12.0,16.0,36.0,C,1963,226.0,214.0,12.0,N,C1,0.185895,0.124465,270.0,0.0614303,107172,59
108444,R,8.0,9.5,36.0,C,1963,115.0,108.0,7.0,N,C1,0.00614303,-0.0430012,-9999.0,0.0491442,108444,59
