ID,SLIDE_TYPE,history,predict
28,R,59,2
29,R,59,2
30,R,59,2
31,R,59,2
32,R,59,2
33,R,59,1
34,R,59,2
35,R,59,2
36,R,59,2
37,R,59,2
38,R,59,2
39,R,59,2
40,R,59,2
41,R,59,2
42,R,59,2
43,R,59,2
44,R,59,2
45,R,59,2
46,R,59,2
47,R,59,2
48,R,59,2
49,R,59,2
50,R,59,2
51,R,59,2
52,R,59,2
53,R,59,2
54,R,59,2
55,R,59,2
56,R,59,2
57,R,59,2
58,R,59,2
59,R,59,2
60,R,59,2
61,R,59,2
62,R,59,2
63,R,59,2
64,R,59,2
65,R,59,2
66,R,59,2
67,R,59,3
68,R,59,2
69,R,59,2
70,R,59,2
71,R,59,2
72,R,59,2
73,R,59,2
74,R,59,2
75,R,59,2
76,R,59,2
77,R,59,2
78,R,59,2
79,R,59,2
80,R,59,2
81,R,59,2
82,R,59,2
83,R,59,2
84,R,59,2
85,R,59,2
86,R,59,2
87,R,59,2
88,R,59,2
89,R,59,2
90,R,59,2
91,R,59,3
92,R,59,2
93,R,59,2
94,R,59,3
95,R,59,3
96,R,59,2
97,R,59,2
98,R,59,2
99,R,59,2
100,R,59,2
101,O,59,2
102,O,59,2
103,O,59,2
104,R,59,2
105,R,59,2
106,R,59,2
107,R,59,2
108,R,59,3
109,R,59,3
110,R,59,2
111,R,59,2
112,R,59,2
113,R,59,2
114,R,59,2
115,R,59,2
116,R,59,2
117,R,59,2
118,R,59,2
119,R,59,2
120,R,59,2
121,R,59,2
122,R,59,2
123,R,59,2
124,R,59,2
125,R,59,2
126,R,59,2
127,R,59,2
128,R,59,1
129,R,59,2
130,R,59,3
131,R,59,2
132,R,59,2
133,R,59,3
134,R,59,2
135,R,59,2
136,R,59,2
137,R,59,2
138,R,59,2
139,R,59,2
140,R,59,2
141,R,59,2
142,R,59,2
143,,,2
144,R,59,2
145,R,59,2
146,R,59,2
147,R,59,2
148,R,59,2
149,R,59,2
150,R,59,2
151,R,59,2
152,R,59,2
153,R,59,2
154,R,59,2
155,R,59,2
156,R,59,2
157,R,59,2
158,R,59,2
159,R,59,2
160,R,59,2
161,R,59,2
162,R,59,2
163,R,59,2
164,R,59,1
