,SLIDE_TYPE,M_WIDTH,S_LENGTH,SLOPE,HEADELEV,TAILELEV,ELE_DIFF,curv_plan,curv_prof,aspect,curv,history,COVER_A,COVER_B,COVER_C,COVER_D,GULLY_N,GULLY_Y
0,0.0,17.8,7.8,61.0253440576,692.6774907667,421.7307174047,16.0503876086,0.0049145201,0.09185668928746557,26.73593,0.4977485,59.0,0.0,1.0,1.0,0.0,1.0,0.0
1,2.0,11.6,5.3,16.6308022187,117.1889829074,149.9687840904,6.2782748558,-0.1558211722,-0.016129934383565206,196.123182,-0.175939,55.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,22.2,7.8,38.3131251936,180.857527394,82.6209235266,2.0,-0.3985998453,-0.161450804850495,101.155057,-0.2474396,59.0,0.0,0.0,1.0,0.0,0.0,1.0
3,0.0,17.1,12.7,29.9897893478,60.5249018213,154.7346489012,2.0,0.0468507802,0.003469581256239064,-9999.0,-0.0202053,59.0,0.0,0.0,1.0,0.0,1.0,0.0
4,0.0,26.4,12.2,25.0388967203,278.3521615632,247.8098844636,5.1067441274,-0.1083521866,0.09880972936081972,93.976942,0.1392849,59.0,0.0,0.0,1.0,0.0,0.0,1.0
5,0.0,21.7,5.5,8.4603623542,415.4572236684,224.7317372737,33.2090056135,-0.0532928803,0.088873582769944,-9999.0,0.3700042,59.0,0.0,0.0,1.0,0.0,0.0,1.0
6,1.0,10.5,14.0,53.0477676903,459.9929944826,612.6835146003,34.1657725519,0.0454507636,0.20637921944241291,287.938596,0.0468917,53.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.0,7.5,11.7,27.0727111777,227.1268427641,119.2624457955,9.6047015992,0.1307862869,0.09351234162019409,298.669644,0.4277539,60.0,0.0,0.0,0.0,1.0,1.0,0.0
8,2.0,3.6,7.2,19.4505761624,289.8921246555,157.1469729775,53.3427164637,0.5125007754,0.13623410980034947,300.821774,0.1066878,19.0,1.0,0.0,0.0,0.0,1.0,0.0
9,0.0,15.2,8.0,54.9127917775,456.1659200464,516.7563977693,36.503524019,0.2491042541,0.29844978206633965,86.011562,-0.1866398,59.0,0.0,1.0,0.0,0.0,1.0,0.0
10,0.0,19.3,6.4,4.1,168.1456207422,45.328449404,16.4925830794,0.3047609298,0.12178907267749348,133.594588,0.1947904,59.0,0.0,0.0,1.0,0.0,0.0,1.0
11,2.0,16.9,8.6,31.6795335487,122.907982426,229.5447588219,14.72441545,-0.2208116749,-0.20469997855384722,173.921195,-0.1173981,31.0,0.0,0.0,1.0,0.0,0.0,1.0
12,0.0,7.2,6.3,9999.0,337.6537994459,637.6796035293,20.9794339886,0.0765480586,0.1147009885330976,-9999.0,-0.0943933,59.0,0.0,0.0,1.0,0.0,1.0,0.0
13,2.0,11.8,3.8,36.2271576025,266.9996734607,127.7380978503,40.5275864169,-0.2726668568,0.137308251768039,143.578662,0.0790168,40.0,1.0,0.0,0.0,0.0,1.0,0.0
14,0.0,15.9,14.8,36.4412318256,534.3512516821,529.8632831951,23.0359440199,-0.1176226139,-0.09098095096114489,125.674703,-0.2736687,59.0,0.0,0.0,1.0,0.0,1.0,1.0
15,0.0,10.6,6.4,24.0297584687,421.9261715514,446.8908290772,2.0,-0.0554809931,0.11179512689439342,164.922687,-0.1744952,59.0,0.0,1.0,0.0,0.0,1.0,0.0
16,0.0,16.2,7.3,39.7399751174,242.9892933199,393.0914959298,16.4028084014,0.0609946191,0.24609628258687427,-9923.604587,-0.2333037,59.0,0.0,0.0,1.0,0.0,1.0,0.0
17,0.0,10.1,9.8,8.5218653681,201.9782712373,166.6793033354,12.6261963058,-0.0253097205,-0.38183403717352427,-9999.0,-0.1549122,18.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,20.4,14.8,21.8614617168,9999.0,348.0928359441,42.2302917916,0.0232263566,-0.514077876050523,188.475879,0.6988264,59.0,0.0,0.0,1.0,0.0,1.0,0.0
19,1.0,7.0,4.7,9484.2357299722,136.3494434349,74.4251793078,22.6162819467,-0.0266621607,0.0327909559610326,-9960.071055,-0.031303,20.0,1.0,0.0,0.0,0.0,1.0,0.0
20,2.0,10.2,15.3,24.659985125,162.7196419693,127.4388182779,17.9511727298,0.0197750378,0.08208651530106484,292.452415,-0.1559056,59.0,0.0,0.0,0.0,0.0,1.0,0.0
21,0.0,15.1,13.2,9619.5533283288,282.0400219992,523.6396763694,29.6116480959,0.1083022543,-0.04470186599135008,-9999.0,-0.3670932,59.0,0.0,0.0,1.0,0.0,1.0,0.0
22,0.0,22.3,18.9,36.8401532865,9999.0,479.2678108431,2.0,0.039400134,-0.014249895180869668,-9999.0,-0.4166089,59.0,0.0,0.0,1.0,0.0,1.0,1.0
23,0.0,18.7,9.4,30.9255787377,155.534230595,304.2720015513,27.5191074141,-0.073613453,0.1290537669688418,-9972.573589,-0.1768504,59.0,0.0,0.0,1.0,0.0,1.0,0.0
24,2.0,3.3,6.6,25.1465166255,189.7156294733,107.5221088918,48.9924000103,-0.1466783308,0.19694179004633997,253.999696,0.2066838,13.0,1.0,0.0,0.0,0.0,1.0,0.0
25,0.0,10.2,36.7,29.7174207624,297.2171545953,308.9422334244,21.2508401921,-0.0565052587,0.11349133119366014,236.397398,0.1827334,59.0,0.0,0.0,1.0,0.0,1.0,0.0
26,0.0,8.1,15.9,49.9604223074,670.5240151573,493.2558137137,15.1856041925,0.0713401952,0.05416625432705345,36.846779,-0.2663452,59.0,0.0,1.0,0.0,0.0,1.0,0.0
27,0.0,14.1,14.2,4.1,223.9172652393,145.7493767819,9999.0,0.0270799901,0.12578799204191538,12.564433,-0.2306133,59.0,0.0,0.0,1.0,0.0,1.0,0.0
28,0.0,14.5,10.9,12.695075938,113.9098318032,103.7604233679,2.0,0.1272829702,0.17848447428106254,157.115859,-0.3483387,59.0,0.0,0.0,1.0,0.0,0.0,1.0
29,1.0,13.0,5.9,5.1375701916,9999.0,195.3643986396,34.0316628454,0.0770318468,0.041571075111347826,80.501283,-0.2486388,41.0,0.0,1.0,0.0,0.0,1.0,0.0
