,FEATTYPE,SCALE,elevation,aspect,slope,Years_befo,NDVI,distance,total_curv,plan_curv,prof_curv,Main_Rock__Granitic Rocks,Main_Rock__Granodiorite,"Main_Rock__Graphitic siltstone, sandstone and marble","Main_Rock__Quartz sandstone, siltstone with conglomerate",Main_Rock__Red conglomerate and coarse sandstone with siltstone,"Main_Rock__Sandstone, siltstone and mudstone","Main_Rock__Superficial Deposits (Silt, sand and gravel)",Main_Rock__Tuff and Lava,Period_Carboniferous,Period_Cretaceous,Period_Devonian,Period_Jurassic,Period_Quaternary,landuse_Agriculture,landuse_Grassland,landuse_Shrubland,landuse_Wetland,landuse_forest,landuse_urban,landuse_water,FACAFF_0,FACAFF_1,FACAFF_2,FACAFF_3,FACAFF_4,Year
0,0,1.5,52,330.524,2.04472,0-1.8,0.193857,17.3408076,-0.282579,-0.18171,0.100869,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
1,0,18.0,1,225.0,1.86081,0-1.8,0.292597,51.05405917,0.282579,0.289513,0.00693372,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.8
2,1,0.5,6,149.534,3.0513,0-1.8,0.339637,130.6014246,-0.208863,-0.102582,0.106281,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1.8
3,1,45.0,26,346.373,5.24349,0-1.8,0.194702,384.0365991,0.159719,0.161805,0.00208631,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.8
4,1,0.3,22,335.999,11.4563,0-1.8,0.155207,370.1132114,-0.651161,-0.205214,0.445947,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
5,0,2.0,16,180.0,2.63066,0-1.8,0.155746,10.75676566,-0.417726,-0.171922,0.245804,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
6,0,3.4,23,257.735,3.63991,0-1.8,0.255206,14.85460049,0.896882,0.450939,-0.445943,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
7,0,1.6,41,68.4986,8.1825,0-1.8,0.236228,1620.686744,-0.368582,-0.0213103,0.347271,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.8
8,1,1.0,24,171.469,9.31228,0-1.8,0.25748,40.70657712,-0.368582,-0.136912,0.23167,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.8
9,0,0.47,13,340.378,6.2768,0-1.8,0.240893,316.6952604,-0.208863,-0.125117,0.0837459,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.8
